"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"수의사","5K+","July 29, 2026 at 7:40:00 PM UTC+9","July 30, 2026 at 9:20:00 AM UTC+9","수의사,고양이","https://trends.google.com/trends/explore?q=%EC%88%98%EC%9D%98%EC%82%AC&geo=KR&hl=en-US"
"애플","5K+","July 29, 2026 at 2:10:00 PM UTC+9","July 29, 2026 at 8:10:00 PM UTC+9","애플","https://trends.google.com/trends/explore?q=%EC%95%A0%ED%94%8C&geo=KR&hl=en-US"
"맨유","2K+","August 1, 2026 at 10:10:00 PM UTC+9","August 2, 2026 at 1:00:00 AM UTC+9","맨유,맨유 아틀레티코,맨유 대 아틀레티코","https://trends.google.com/trends/explore?q=%EB%A7%A8%EC%9C%A0&geo=KR&hl=en-US"
"짐쌀라비움","500+","August 1, 2026 at 9:00:00 PM UTC+9","August 2, 2026 at 8:30:00 PM UTC+9","짐쌀라비움","https://trends.google.com/trends/explore?q=%EC%A7%90%EC%8C%80%EB%9D%BC%EB%B9%84%EC%9B%80&geo=KR&hl=en-US"
"강미정","2K+","July 28, 2026 at 1:00:00 PM UTC+9","July 29, 2026 at 9:30:00 AM UTC+9","강미정","https://trends.google.com/trends/explore?q=%EA%B0%95%EB%AF%B8%EC%A0%95&geo=KR&hl=en-US"
"노소영","2K+","August 1, 2026 at 5:40:00 AM UTC+9","August 1, 2026 at 8:10:00 AM UTC+9","노소영","https://trends.google.com/trends/explore?q=%EB%85%B8%EC%86%8C%EC%98%81&geo=KR&hl=en-US"
"아중저수지","1K+","August 1, 2026 at 4:30:00 PM UTC+9","August 1, 2026 at 9:20:00 PM UTC+9","아중저수지","https://trends.google.com/trends/explore?q=%EC%95%84%EC%A4%91%EC%A0%80%EC%88%98%EC%A7%80&geo=KR&hl=en-US"
"서울강남경찰서","2K+","July 29, 2026 at 1:10:00 PM UTC+9","July 30, 2026 at 8:30:00 AM UTC+9","서울강남경찰서","https://trends.google.com/trends/explore?q=%EC%84%9C%EC%9A%B8%EA%B0%95%EB%82%A8%EA%B2%BD%EC%B0%B0%EC%84%9C&geo=KR&hl=en-US"
"치안감","1K+","August 1, 2026 at 3:00:00 PM UTC+9","August 2, 2026 at 10:10:00 AM UTC+9","치안감","https://trends.google.com/trends/explore?q=%EC%B9%98%EC%95%88%EA%B0%90&geo=KR&hl=en-US"
"데이터 센터","500+","August 2, 2026 at 10:00:00 PM UTC+9","August 3, 2026 at 8:50:00 AM UTC+9","데이터 센터","https://trends.google.com/trends/explore?q=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%84%BC%ED%84%B0&geo=KR&hl=en-US"
"건설 회사","500+","August 3, 2026 at 5:40:00 AM UTC+9","August 3, 2026 at 9:10:00 AM UTC+9","건설 회사,삼성물산,건설업","https://trends.google.com/trends/explore?q=%EA%B1%B4%EC%84%A4%20%ED%9A%8C%EC%82%AC&geo=KR&hl=en-US"
"뉴데일리","500+","August 3, 2026 at 11:40:00 AM UTC+9","August 3, 2026 at 1:30:00 PM UTC+9","뉴데일리","https://trends.google.com/trends/explore?q=%EB%89%B4%EB%8D%B0%EC%9D%BC%EB%A6%AC&geo=KR&hl=en-US"
"시바이누코인","500+","August 1, 2026 at 9:30:00 PM UTC+9","August 2, 2026 at 4:20:00 PM UTC+9","시바이누코인","https://trends.google.com/trends/explore?q=%EC%8B%9C%EB%B0%94%EC%9D%B4%EB%88%84%EC%BD%94%EC%9D%B8&geo=KR&hl=en-US"
"하주석","2K+","August 1, 2026 at 8:50:00 AM UTC+9","August 1, 2026 at 11:00:00 AM UTC+9","하주석,김범수","https://trends.google.com/trends/explore?q=%ED%95%98%EC%A3%BC%EC%84%9D&geo=KR&hl=en-US"
"복지","1K+","July 30, 2026 at 11:10:00 AM UTC+9","July 31, 2026 at 2:40:00 PM UTC+9","복지","https://trends.google.com/trends/explore?q=%EB%B3%B5%EC%A7%80&geo=KR&hl=en-US"
"소방서","2K+","July 31, 2026 at 3:40:00 PM UTC+9","July 31, 2026 at 9:00:00 PM UTC+9","소방서,주차","https://trends.google.com/trends/explore?q=%EC%86%8C%EB%B0%A9%EC%84%9C&geo=KR&hl=en-US"
"송지효","500+","August 1, 2026 at 1:40:00 PM UTC+9","August 2, 2026 at 9:40:00 AM UTC+9","송지효","https://trends.google.com/trends/explore?q=%EC%86%A1%EC%A7%80%ED%9A%A8&geo=KR&hl=en-US"
"김용범","5K+","July 29, 2026 at 11:00:00 AM UTC+9","July 29, 2026 at 4:50:00 PM UTC+9","김용범,이억원,개혁신당","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%9A%A9%EB%B2%94&geo=KR&hl=en-US"
"허 경민","2K+","July 30, 2026 at 5:50:00 AM UTC+9","July 30, 2026 at 1:20:00 PM UTC+9","허 경민,허경민","https://trends.google.com/trends/explore?q=%ED%97%88%20%EA%B2%BD%EB%AF%BC&geo=KR&hl=en-US"
"이승영","1K+","July 31, 2026 at 8:00:00 PM UTC+9","August 1, 2026 at 11:30:00 PM UTC+9","이승영","https://trends.google.com/trends/explore?q=%EC%9D%B4%EC%8A%B9%EC%98%81&geo=KR&hl=en-US"
"간호사","2K+","July 28, 2026 at 6:10:00 PM UTC+9","July 29, 2026 at 8:30:00 AM UTC+9","간호사","https://trends.google.com/trends/explore?q=%EA%B0%84%ED%98%B8%EC%82%AC&geo=KR&hl=en-US"
"진기주","500+","August 3, 2026 at 7:30:00 AM UTC+9","August 3, 2026 at 10:00:00 AM UTC+9","진기주","https://trends.google.com/trends/explore?q=%EC%A7%84%EA%B8%B0%EC%A3%BC&geo=KR&hl=en-US"
"오픈ai","500+","August 1, 2026 at 1:00:00 PM UTC+9","August 2, 2026 at 10:50:00 AM UTC+9","오픈ai","https://trends.google.com/trends/explore?q=%EC%98%A4%ED%94%88ai&geo=KR&hl=en-US"
"해군","500+","August 2, 2026 at 5:00:00 PM UTC+9","August 2, 2026 at 9:00:00 PM UTC+9","해군","https://trends.google.com/trends/explore?q=%ED%95%B4%EA%B5%B0&geo=KR&hl=en-US"
"하이닉스 하한가","2K+","July 28, 2026 at 12:10:00 PM UTC+9","July 28, 2026 at 11:40:00 PM UTC+9","하이닉스 하한가,하한가","https://trends.google.com/trends/explore?q=%ED%95%98%EC%9D%B4%EB%8B%89%EC%8A%A4%20%ED%95%98%ED%95%9C%EA%B0%80&geo=KR&hl=en-US"
"김경문","2K+","July 29, 2026 at 6:10:00 AM UTC+9","July 29, 2026 at 5:10:00 PM UTC+9","김경문,이도윤","https://trends.google.com/trends/explore?q=%EA%B9%80%EA%B2%BD%EB%AC%B8&geo=KR&hl=en-US"
"상용차","1K+","July 31, 2026 at 2:20:00 PM UTC+9","August 1, 2026 at 10:10:00 AM UTC+9","상용차","https://trends.google.com/trends/explore?q=%EC%83%81%EC%9A%A9%EC%B0%A8&geo=KR&hl=en-US"
"첼시","2K+","August 1, 2026 at 6:20:00 PM UTC+9","August 1, 2026 at 9:50:00 PM UTC+9","첼시,웰백","https://trends.google.com/trends/explore?q=%EC%B2%BC%EC%8B%9C&geo=KR&hl=en-US"
"흥국생명","2K+","July 30, 2026 at 5:50:00 AM UTC+9","July 30, 2026 at 7:30:00 PM UTC+9","흥국생명,고민지","https://trends.google.com/trends/explore?q=%ED%9D%A5%EA%B5%AD%EC%83%9D%EB%AA%85&geo=KR&hl=en-US"
"표식","500+","August 2, 2026 at 5:40:00 PM UTC+9","August 2, 2026 at 9:00:00 PM UTC+9","표식","https://trends.google.com/trends/explore?q=%ED%91%9C%EC%8B%9D&geo=KR&hl=en-US"
"나는 솔로 32 기","1K+","July 30, 2026 at 4:40:00 PM UTC+9","July 31, 2026 at 9:30:00 AM UTC+9","나는 솔로 32 기,옥순이","https://trends.google.com/trends/explore?q=%EB%82%98%EB%8A%94%20%EC%86%94%EB%A1%9C%2032%20%EA%B8%B0&geo=KR&hl=en-US"
"가자지구","200+","August 3, 2026 at 5:30:00 AM UTC+9","August 3, 2026 at 10:00:00 AM UTC+9","가자지구","https://trends.google.com/trends/explore?q=%EA%B0%80%EC%9E%90%EC%A7%80%EA%B5%AC&geo=KR&hl=en-US"
"항공기","500+","August 1, 2026 at 7:30:00 PM UTC+9","August 2, 2026 at 12:40:00 PM UTC+9","항공기,나스카","https://trends.google.com/trends/explore?q=%ED%95%AD%EA%B3%B5%EA%B8%B0&geo=KR&hl=en-US"
"광주공항","2K+","July 28, 2026 at 6:20:00 PM UTC+9","July 30, 2026 at 7:30:00 AM UTC+9","광주공항","https://trends.google.com/trends/explore?q=%EA%B4%91%EC%A3%BC%EA%B3%B5%ED%95%AD&geo=KR&hl=en-US"
"유학생","500+","August 3, 2026 at 6:10:00 AM UTC+9","August 3, 2026 at 8:00:00 AM UTC+9","유학생","https://trends.google.com/trends/explore?q=%EC%9C%A0%ED%95%99%EC%83%9D&geo=KR&hl=en-US"
"김한나","2K+","July 28, 2026 at 3:30:00 PM UTC+9","July 29, 2026 at 10:50:00 AM UTC+9","김한나","https://trends.google.com/trends/explore?q=%EA%B9%80%ED%95%9C%EB%82%98&geo=KR&hl=en-US"
"맨시티","1K+","August 1, 2026 at 7:40:00 PM UTC+9","August 2, 2026 at 12:50:00 AM UTC+9","맨시티","https://trends.google.com/trends/explore?q=%EB%A7%A8%EC%8B%9C%ED%8B%B0&geo=KR&hl=en-US"
"김지찬","2K+","July 29, 2026 at 10:00:00 AM UTC+9","July 29, 2026 at 8:40:00 PM UTC+9","김지찬","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%A7%80%EC%B0%AC&geo=KR&hl=en-US"
"마이클 버리","1K+","August 1, 2026 at 5:30:00 AM UTC+9","August 1, 2026 at 2:00:00 PM UTC+9","마이클 버리","https://trends.google.com/trends/explore?q=%EB%A7%88%EC%9D%B4%ED%81%B4%20%EB%B2%84%EB%A6%AC&geo=KR&hl=en-US"
"싸이","1K+","August 1, 2026 at 7:50:00 AM UTC+9","August 1, 2026 at 1:30:00 PM UTC+9","싸이","https://trends.google.com/trends/explore?q=%EC%8B%B8%EC%9D%B4&geo=KR&hl=en-US"
"김수미","1K+","July 31, 2026 at 1:50:00 AM UTC+9","July 31, 2026 at 3:50:00 PM UTC+9","김수미","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%88%98%EB%AF%B8&geo=KR&hl=en-US"
"bmw x3","500+","August 1, 2026 at 2:10:00 PM UTC+9","August 2, 2026 at 9:30:00 AM UTC+9","bmw x3","https://trends.google.com/trends/explore?q=bmw%20x3&geo=KR&hl=en-US"
"조현아","1K+","August 2, 2026 at 9:20:00 PM UTC+9","August 2, 2026 at 11:10:00 PM UTC+9","조현아","https://trends.google.com/trends/explore?q=%EC%A1%B0%ED%98%84%EC%95%84&geo=KR&hl=en-US"
"암표","200+","August 3, 2026 at 7:10:00 PM UTC+9","August 4, 2026 at 6:50:00 AM UTC+9","암표","https://trends.google.com/trends/explore?q=%EC%95%94%ED%91%9C&geo=KR&hl=en-US"
"리버풀","200+","August 3, 2026 at 5:30:00 AM UTC+9","August 3, 2026 at 9:00:00 AM UTC+9","리버풀","https://trends.google.com/trends/explore?q=%EB%A6%AC%EB%B2%84%ED%92%80&geo=KR&hl=en-US"
"전소영","500+","July 31, 2026 at 9:10:00 PM UTC+9","August 1, 2026 at 3:40:00 PM UTC+9","전소영","https://trends.google.com/trends/explore?q=%EC%A0%84%EC%86%8C%EC%98%81&geo=KR&hl=en-US"
"lck","1K+","August 2, 2026 at 10:50:00 PM UTC+9","August 3, 2026 at 12:10:00 AM UTC+9","lck","https://trends.google.com/trends/explore?q=lck&geo=KR&hl=en-US"
"t 멤버십","1K+","July 30, 2026 at 2:50:00 PM UTC+9","July 31, 2026 at 10:00:00 AM UTC+9","t 멤버십","https://trends.google.com/trends/explore?q=t%20%EB%A9%A4%EB%B2%84%EC%8B%AD&geo=KR&hl=en-US"
"요시다 슈헤이","1K+","July 29, 2026 at 12:40:00 AM UTC+9","July 29, 2026 at 7:40:00 PM UTC+9","요시다 슈헤이","https://trends.google.com/trends/explore?q=%EC%9A%94%EC%8B%9C%EB%8B%A4%20%EC%8A%88%ED%97%A4%EC%9D%B4&geo=KR&hl=en-US"
"f-35b","1K+","August 1, 2026 at 1:10:00 PM UTC+9","August 1, 2026 at 7:00:00 PM UTC+9","f-35b,록히드 마틴 f-35 라이트닝 ii","https://trends.google.com/trends/explore?q=f-35b&geo=KR&hl=en-US"
"네이처셀","1K+","July 31, 2026 at 12:00:00 PM UTC+9","August 1, 2026 at 8:00:00 AM UTC+9","네이처셀","https://trends.google.com/trends/explore?q=%EB%84%A4%EC%9D%B4%EC%B2%98%EC%85%80&geo=KR&hl=en-US"
"삼성전자 주가","5K+","July 31, 2026 at 9:20:00 AM UTC+9","July 31, 2026 at 5:00:00 PM UTC+9","삼성전자 주가,삼성전자 주식","https://trends.google.com/trends/explore?q=%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90%20%EC%A3%BC%EA%B0%80&geo=KR&hl=en-US"
"한의사","2K+","July 30, 2026 at 5:30:00 PM UTC+9","July 31, 2026 at 8:50:00 AM UTC+9","한의사,이주영 의원","https://trends.google.com/trends/explore?q=%ED%95%9C%EC%9D%98%EC%82%AC&geo=KR&hl=en-US"
"뉴스 속보","500+","August 3, 2026 at 3:30:00 PM UTC+9","August 3, 2026 at 4:20:00 PM UTC+9","뉴스 속보","https://trends.google.com/trends/explore?q=%EB%89%B4%EC%8A%A4%20%EC%86%8D%EB%B3%B4&geo=KR&hl=en-US"
"투표","1K+","July 31, 2026 at 4:10:00 AM UTC+9","July 31, 2026 at 10:20:00 AM UTC+9","투표","https://trends.google.com/trends/explore?q=%ED%88%AC%ED%91%9C&geo=KR&hl=en-US"
"우선주","500+","August 1, 2026 at 7:00:00 PM UTC+9","August 2, 2026 at 9:30:00 AM UTC+9","우선주","https://trends.google.com/trends/explore?q=%EC%9A%B0%EC%84%A0%EC%A3%BC&geo=KR&hl=en-US"
"ตรวจหวย","1K+","August 1, 2026 at 5:50:00 PM UTC+9","August 1, 2026 at 10:30:00 PM UTC+9","ตรวจหวย,หวย,สลากกินแบ่งรัฐบาล","https://trends.google.com/trends/explore?q=%E0%B8%95%E0%B8%A3%E0%B8%A7%E0%B8%88%E0%B8%AB%E0%B8%A7%E0%B8%A2&geo=KR&hl=en-US"
"포모","1K+","July 31, 2026 at 12:40:00 PM UTC+9","August 1, 2026 at 6:10:00 AM UTC+9","포모","https://trends.google.com/trends/explore?q=%ED%8F%AC%EB%AA%A8&geo=KR&hl=en-US"
"속초시","2K+","July 28, 2026 at 5:10:00 PM UTC+9","July 29, 2026 at 7:50:00 AM UTC+9","속초시","https://trends.google.com/trends/explore?q=%EC%86%8D%EC%B4%88%EC%8B%9C&geo=KR&hl=en-US"
"스마트 폰","1K+","July 31, 2026 at 6:10:00 AM UTC+9","August 1, 2026 at 8:40:00 AM UTC+9","스마트 폰","https://trends.google.com/trends/explore?q=%EC%8A%A4%EB%A7%88%ED%8A%B8%20%ED%8F%B0&geo=KR&hl=en-US"
"005930","5K+","July 31, 2026 at 4:40:00 PM UTC+9","July 31, 2026 at 6:20:00 PM UTC+9","005930","https://trends.google.com/trends/explore?q=005930&geo=KR&hl=en-US"
"애플 주가","1K+","July 31, 2026 at 5:40:00 AM UTC+9","August 1, 2026 at 8:20:00 AM UTC+9","애플 주가,엔비디아 주가,애플 실적발표","https://trends.google.com/trends/explore?q=%EC%95%A0%ED%94%8C%20%EC%A3%BC%EA%B0%80&geo=KR&hl=en-US"
"남궁민","2K+","July 29, 2026 at 3:20:00 PM UTC+9","July 29, 2026 at 10:30:00 PM UTC+9","남궁민","https://trends.google.com/trends/explore?q=%EB%82%A8%EA%B6%81%EB%AF%BC&geo=KR&hl=en-US"
"네드","500+","August 1, 2026 at 12:00:00 AM UTC+9","August 3, 2026 at 1:50:00 AM UTC+9","네드","https://trends.google.com/trends/explore?q=%EB%84%A4%EB%93%9C&geo=KR&hl=en-US"
"은중과 상연","1K+","July 31, 2026 at 11:00:00 PM UTC+9","August 1, 2026 at 2:10:00 PM UTC+9","은중과 상연,이상이,청룡,청룡어워즈","https://trends.google.com/trends/explore?q=%EC%9D%80%EC%A4%91%EA%B3%BC%20%EC%83%81%EC%97%B0&geo=KR&hl=en-US"
"암벽등반","1K+","July 29, 2026 at 12:50:00 PM UTC+9","July 30, 2026 at 9:20:00 AM UTC+9","암벽등반","https://trends.google.com/trends/explore?q=%EC%95%94%EB%B2%BD%EB%93%B1%EB%B0%98&geo=KR&hl=en-US"
"윤미라","2K+","July 29, 2026 at 11:20:00 PM UTC+9","July 30, 2026 at 11:00:00 PM UTC+9","윤미라","https://trends.google.com/trends/explore?q=%EC%9C%A4%EB%AF%B8%EB%9D%BC&geo=KR&hl=en-US"
"치킨","2K+","July 30, 2026 at 4:00:00 PM UTC+9","July 31, 2026 at 12:00:00 AM UTC+9","치킨","https://trends.google.com/trends/explore?q=%EC%B9%98%ED%82%A8&geo=KR&hl=en-US"
"대전광역시","1K+","July 30, 2026 at 6:30:00 PM UTC+9","August 1, 2026 at 9:40:00 AM UTC+9","대전광역시","https://trends.google.com/trends/explore?q=%EB%8C%80%EC%A0%84%EA%B4%91%EC%97%AD%EC%8B%9C&geo=KR&hl=en-US"
"여성 건강","2K+","July 29, 2026 at 7:00:00 PM UTC+9","July 30, 2026 at 12:50:00 PM UTC+9","여성 건강","https://trends.google.com/trends/explore?q=%EC%97%AC%EC%84%B1%20%EA%B1%B4%EA%B0%95&geo=KR&hl=en-US"
"해고","1K+","August 1, 2026 at 3:00:00 PM UTC+9","August 1, 2026 at 7:10:00 PM UTC+9","해고","https://trends.google.com/trends/explore?q=%ED%95%B4%EA%B3%A0&geo=KR&hl=en-US"
"단발","500+","August 1, 2026 at 7:00:00 PM UTC+9","August 2, 2026 at 10:00:00 AM UTC+9","단발","https://trends.google.com/trends/explore?q=%EB%8B%A8%EB%B0%9C&geo=KR&hl=en-US"
"전국노래자랑","500+","August 3, 2026 at 5:30:00 AM UTC+9","August 3, 2026 at 8:30:00 AM UTC+9","전국노래자랑,지원이","https://trends.google.com/trends/explore?q=%EC%A0%84%EA%B5%AD%EB%85%B8%EB%9E%98%EC%9E%90%EB%9E%91&geo=KR&hl=en-US"
"熊本地震","2K+","July 28, 2026 at 4:40:00 PM UTC+9","July 29, 2026 at 1:20:00 PM UTC+9","熊本地震,地震","https://trends.google.com/trends/explore?q=%E7%86%8A%E6%9C%AC%E5%9C%B0%E9%9C%87&geo=KR&hl=en-US"
"르노 콜레오 스","2K+","July 29, 2026 at 4:10:00 PM UTC+9","July 30, 2026 at 9:50:00 AM UTC+9","르노 콜레오 스,르노 콜레오스,르노","https://trends.google.com/trends/explore?q=%EB%A5%B4%EB%85%B8%20%EC%BD%9C%EB%A0%88%EC%98%A4%20%EC%8A%A4&geo=KR&hl=en-US"
"형사","500+","August 1, 2026 at 7:30:00 PM UTC+9","August 2, 2026 at 7:40:00 AM UTC+9","형사","https://trends.google.com/trends/explore?q=%ED%98%95%EC%82%AC&geo=KR&hl=en-US"
"기아","2K+","July 31, 2026 at 2:40:00 PM UTC+9","July 31, 2026 at 5:10:00 PM UTC+9","기아","https://trends.google.com/trends/explore?q=%EA%B8%B0%EC%95%84&geo=KR&hl=en-US"
"체포","1K+","July 31, 2026 at 12:00:00 PM UTC+9","July 31, 2026 at 4:10:00 PM UTC+9","체포","https://trends.google.com/trends/explore?q=%EC%B2%B4%ED%8F%AC&geo=KR&hl=en-US"
"전기 자동차","2K+","July 31, 2026 at 5:40:00 AM UTC+9","July 31, 2026 at 9:00:00 AM UTC+9","전기 자동차","https://trends.google.com/trends/explore?q=%EC%A0%84%EA%B8%B0%20%EC%9E%90%EB%8F%99%EC%B0%A8&geo=KR&hl=en-US"
"양정아","500+","August 2, 2026 at 10:10:00 PM UTC+9","August 2, 2026 at 11:50:00 PM UTC+9","양정아","https://trends.google.com/trends/explore?q=%EC%96%91%EC%A0%95%EC%95%84&geo=KR&hl=en-US"
"군대","2K+","July 29, 2026 at 1:00:00 PM UTC+9","July 29, 2026 at 7:00:00 PM UTC+9","군대","https://trends.google.com/trends/explore?q=%EA%B5%B0%EB%8C%80&geo=KR&hl=en-US"
"걸 그룹","2K+","July 28, 2026 at 6:00:00 PM UTC+9","July 29, 2026 at 4:30:00 PM UTC+9","걸 그룹","https://trends.google.com/trends/explore?q=%EA%B1%B8%20%EA%B7%B8%EB%A3%B9&geo=KR&hl=en-US"
"국민성장펀드","200+","August 3, 2026 at 5:00:00 PM UTC+9","August 3, 2026 at 6:30:00 PM UTC+9","국민성장펀드","https://trends.google.com/trends/explore?q=%EA%B5%AD%EB%AF%BC%EC%84%B1%EC%9E%A5%ED%8E%80%EB%93%9C&geo=KR&hl=en-US"
"제주항공","500+","August 3, 2026 at 11:00:00 AM UTC+9","August 3, 2026 at 12:40:00 PM UTC+9","제주항공","https://trends.google.com/trends/explore?q=%EC%A0%9C%EC%A3%BC%ED%95%AD%EA%B3%B5&geo=KR&hl=en-US"
"제주 sk fc","500+","August 4, 2026 at 1:50:00 AM UTC+9","August 4, 2026 at 7:00:00 AM UTC+9","제주 sk fc,김민재","https://trends.google.com/trends/explore?q=%EC%A0%9C%EC%A3%BC%20sk%20fc&geo=KR&hl=en-US"
"when is daylight saving time","1K+","July 30, 2026 at 1:40:00 AM UTC+9","July 30, 2026 at 6:50:00 PM UTC+9","when is daylight saving time","https://trends.google.com/trends/explore?q=when%20is%20daylight%20saving%20time&geo=KR&hl=en-US"
"농성","2K+","July 30, 2026 at 4:30:00 AM UTC+9","July 30, 2026 at 9:50:00 AM UTC+9","농성","https://trends.google.com/trends/explore?q=%EB%86%8D%EC%84%B1&geo=KR&hl=en-US"
"박맹우","1K+","July 30, 2026 at 7:50:00 PM UTC+9","July 31, 2026 at 8:10:00 AM UTC+9","박맹우","https://trends.google.com/trends/explore?q=%EB%B0%95%EB%A7%B9%EC%9A%B0&geo=KR&hl=en-US"
"아파트","5K+","July 31, 2026 at 6:20:00 AM UTC+9","July 31, 2026 at 8:20:00 AM UTC+9","아파트","https://trends.google.com/trends/explore?q=%EC%95%84%ED%8C%8C%ED%8A%B8&geo=KR&hl=en-US"
"엘지생활건강","1K+","July 30, 2026 at 8:40:00 PM UTC+9","July 31, 2026 at 10:10:00 AM UTC+9","엘지생활건강","https://trends.google.com/trends/explore?q=%EC%97%98%EC%A7%80%EC%83%9D%ED%99%9C%EA%B1%B4%EA%B0%95&geo=KR&hl=en-US"
"오디세이 (영화)","1K+","July 30, 2026 at 5:20:00 PM UTC+9","July 31, 2026 at 10:30:00 AM UTC+9","오디세이 (영화)","https://trends.google.com/trends/explore?q=%EC%98%A4%EB%94%94%EC%84%B8%EC%9D%B4%20%28%EC%98%81%ED%99%94%29&geo=KR&hl=en-US"
"이예림","1K+","July 28, 2026 at 1:10:00 PM UTC+9","July 29, 2026 at 8:40:00 AM UTC+9","이예림","https://trends.google.com/trends/explore?q=%EC%9D%B4%EC%98%88%EB%A6%BC&geo=KR&hl=en-US"
"원자력","2K+","July 29, 2026 at 9:50:00 PM UTC+9","July 30, 2026 at 9:40:00 AM UTC+9","원자력","https://trends.google.com/trends/explore?q=%EC%9B%90%EC%9E%90%EB%A0%A5&geo=KR&hl=en-US"
"노시환","2K+","July 28, 2026 at 12:40:00 PM UTC+9","July 28, 2026 at 10:50:00 PM UTC+9","노시환","https://trends.google.com/trends/explore?q=%EB%85%B8%EC%8B%9C%ED%99%98&geo=KR&hl=en-US"
"모태솔로지만 연애는 하고싶어 시즌2","2K+","July 28, 2026 at 4:20:00 PM UTC+9","July 29, 2026 at 7:40:00 AM UTC+9","모태솔로지만 연애는 하고싶어 시즌2,모태솔로지만 연애는 하고싶어 2,모솔연애2,모솔연애2 현커","https://trends.google.com/trends/explore?q=%EB%AA%A8%ED%83%9C%EC%86%94%EB%A1%9C%EC%A7%80%EB%A7%8C%20%EC%97%B0%EC%95%A0%EB%8A%94%20%ED%95%98%EA%B3%A0%EC%8B%B6%EC%96%B4%20%EC%8B%9C%EC%A6%8C2&geo=KR&hl=en-US"
"복숭아","500+","August 2, 2026 at 7:20:00 PM UTC+9","August 2, 2026 at 10:40:00 PM UTC+9","복숭아","https://trends.google.com/trends/explore?q=%EB%B3%B5%EC%88%AD%EC%95%84&geo=KR&hl=en-US"
"기아 셀토스","1K+","July 29, 2026 at 12:40:00 AM UTC+9","July 29, 2026 at 12:40:00 PM UTC+9","기아 셀토스","https://trends.google.com/trends/explore?q=%EA%B8%B0%EC%95%84%20%EC%85%80%ED%86%A0%EC%8A%A4&geo=KR&hl=en-US"
"암호화폐","1K+","July 31, 2026 at 6:00:00 PM UTC+9","July 31, 2026 at 9:10:00 PM UTC+9","암호화폐","https://trends.google.com/trends/explore?q=%EC%95%94%ED%98%B8%ED%99%94%ED%8F%90&geo=KR&hl=en-US"
"food festivals near me","1K+","July 30, 2026 at 1:50:00 AM UTC+9","July 30, 2026 at 6:30:00 PM UTC+9","food festivals near me","https://trends.google.com/trends/explore?q=food%20festivals%20near%20me&geo=KR&hl=en-US"
"windy","200+","August 3, 2026 at 11:50:00 AM UTC+9","August 3, 2026 at 2:20:00 PM UTC+9","windy","https://trends.google.com/trends/explore?q=windy&geo=KR&hl=en-US"
"현대건설","1K+","July 31, 2026 at 7:10:00 PM UTC+9","August 1, 2026 at 8:20:00 AM UTC+9","현대건설,건설","https://trends.google.com/trends/explore?q=%ED%98%84%EB%8C%80%EA%B1%B4%EC%84%A4&geo=KR&hl=en-US"
"stock market news today","1K+","July 30, 2026 at 2:40:00 AM UTC+9","July 30, 2026 at 6:50:00 PM UTC+9","stock market news today","https://trends.google.com/trends/explore?q=stock%20market%20news%20today&geo=KR&hl=en-US"
"장 한별","2K+","July 30, 2026 at 5:40:00 PM UTC+9","July 31, 2026 at 8:20:00 AM UTC+9","장 한별,전설의 사내,장민호","https://trends.google.com/trends/explore?q=%EC%9E%A5%20%ED%95%9C%EB%B3%84&geo=KR&hl=en-US"
"신현송","1K+","July 29, 2026 at 3:20:00 PM UTC+9","July 30, 2026 at 8:40:00 AM UTC+9","신현송","https://trends.google.com/trends/explore?q=%EC%8B%A0%ED%98%84%EC%86%A1&geo=KR&hl=en-US"
"이지혜","2K+","July 31, 2026 at 5:40:00 AM UTC+9","July 31, 2026 at 8:00:00 AM UTC+9","이지혜","https://trends.google.com/trends/explore?q=%EC%9D%B4%EC%A7%80%ED%98%9C&geo=KR&hl=en-US"
"김원희","500+","August 1, 2026 at 7:20:00 PM UTC+9","August 2, 2026 at 8:30:00 PM UTC+9","김원희","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%9B%90%ED%9D%AC&geo=KR&hl=en-US"
"손태진","500+","August 1, 2026 at 8:00:00 AM UTC+9","August 2, 2026 at 7:30:00 AM UTC+9","손태진","https://trends.google.com/trends/explore?q=%EC%86%90%ED%83%9C%EC%A7%84&geo=KR&hl=en-US"
"정유시설","500+","July 31, 2026 at 9:40:00 PM UTC+9","August 1, 2026 at 12:40:00 PM UTC+9","정유시설,정유공장","https://trends.google.com/trends/explore?q=%EC%A0%95%EC%9C%A0%EC%8B%9C%EC%84%A4&geo=KR&hl=en-US"
"krx","2K+","July 30, 2026 at 9:40:00 PM UTC+9","August 1, 2026 at 3:00:00 AM UTC+9","krx,kospi","https://trends.google.com/trends/explore?q=krx&geo=KR&hl=en-US"
"전원주","2K+","August 1, 2026 at 6:10:00 AM UTC+9","August 1, 2026 at 8:10:00 AM UTC+9","전원주","https://trends.google.com/trends/explore?q=%EC%A0%84%EC%9B%90%EC%A3%BC&geo=KR&hl=en-US"
